,,0
TB_Prev,TB_Cases,0.983871163532724
TB_Prev_100k,TB_Inc_100k,0.9572680967714033
TB_Prev,TB_Deaths,0.9503697347053885
TB_HIV_Deaths,TB_HIV_Cases,0.948342967065713
TB_HIV_Mort_100k,TB_HIV_Inc_100k,0.9317277371682828
TB_Deaths,TB_Cases,0.9287599552180036
TB_Prev_100k,TB_Mort_100k,0.9127881051203852
TB_Mort_100k,TB_Inc_100k,0.8754458730534144
TB_HIV_Mort_100k,TB_HIV_Deaths,0.8433264453244342
TB_HIV_Perc,TB_HIV_Inc_100k,0.8352168326168355
TB_HIV_Inc_100k,TB_HIV_Cases,0.8225680570531592
TB_HIV_Deaths,TB_HIV_Inc_100k,0.7970917332633213
TB_HIV_Mort_100k,TB_HIV_Cases,0.7771334340565481
TB_HIV_Mort_100k,TB_HIV_Perc,0.7300087896842057
TB_Deaths,TB_HIV_Deaths,0.7107694672019523
TB_HIV_Deaths,TB_Cases,0.6879534479783342
TB_HIV_Perc,TB_HIV_Cases,0.682761545894022
TB_Mort_100k,TB_Deaths,0.6677941374278124
TB_Prev,TB_HIV_Deaths,0.6578629714056945
TB_Cases,TB_HIV_Cases,0.6460629953416562
TB_Deaths,TB_HIV_Cases,0.6452586945583973
TB_HIV_Mort_100k,TB_Inc_100k,0.644947513343719
TB_HIV_Deaths,TB_HIV_Perc,0.630328052199853
TB_Mort_100k,TB_HIV_Mort_100k,0.6201977179993423
TB_Mort_100k,Case_Detect,0.61751388735715
TB_Prev_100k,TB_Deaths,0.6051701348202647
TB_Prev,TB_HIV_Cases,0.6032921616969279
TB_Deaths,TB_Inc_100k,0.5982696760554864
TB_Prev_100k,Case_Detect,0.5974185404117801
TB_HIV_Deaths,TB_Inc_100k,0.5958643249140584
TB_Inc_100k,TB_Cases,0.587465556419324
TB_Inc_100k,TB_HIV_Inc_100k,0.5873489457566463
TB_Prev,TB_Inc_100k,0.5765488604926056
TB_Prev_100k,TB_HIV_Mort_100k,0.5740823140473359
TB_Prev_100k,TB_Prev,0.572828912329077
TB_Mort_100k,TB_HIV_Deaths,0.5667624003916442
TB_Prev,TB_Mort_100k,0.5666150453716694
TB_Prev_100k,TB_Cases,0.5530005180628245
TB_Mort_100k,TB_Cases,0.5444034546975969
TB_Mort_100k,TB_HIV_Inc_100k,0.5413591679696687
TB_Inc_100k,TB_HIV_Cases,0.5402470610368685
TB_Inc_100k,Case_Detect,0.535786978968611
TB_Deaths,TB_HIV_Mort_100k,0.5248306820649113
TB_Prev_100k,TB_HIV_Deaths,0.5236159620323998
TB_Deaths,Case_Detect,0.4945007292986859
TB_Prev_100k,TB_HIV_Inc_100k,0.49105691756561587
TB_Mort_100k,TB_HIV_Cases,0.49074605104399305
TB_HIV_Mort_100k,Case_Detect,0.48130684320074574
TB_HIV_Mort_100k,TB_Cases,0.4636454401404183
TB_Deaths,TB_HIV_Inc_100k,0.452223654598767
TB_Prev,Case_Detect,0.45034654150874986
TB_Prev_100k,TB_HIV_Cases,0.44961090829827155
TB_HIV_Deaths,Case_Detect,0.44204255932642267
TB_Prev,TB_HIV_Mort_100k,0.442030286082443
TB_Cases,TB_HIV_Inc_100k,0.41182117281272407
TB_Cases,Case_Detect,0.4097024107221303
TB_HIV_Inc_100k,Case_Detect,0.39241745062504607
TB_Prev,TB_HIV_Inc_100k,0.37634837320493486
TB_HIV_Cases,Case_Detect,0.36175668503499003
Pop,TB_Prev,0.35634583674790654
Pop,TB_Cases,0.35429828323032314
TB_Inc_100k,TB_HIV_Perc,0.336822849269976
Pop,TB_Deaths,0.3288027392326535
TB_Mort_100k,TB_HIV_Perc,0.2716967506165357
Pop,TB_HIV_Deaths,0.2516682472804176
Pop,TB_HIV_Cases,0.24542358181254142
TB_HIV_Perc,Case_Detect,0.24007494251190864
TB_Deaths,TB_HIV_Perc,0.2298882379784402
TB_Cases,TB_HIV_Perc,0.222284762192329
Year,TB_HIV_Perc,0.22221124850282262
TB_Prev_100k,TB_HIV_Perc,0.2132723105383295
TB_Prev,TB_HIV_Perc,0.16878835493102168
Year,Case_Detect,0.16237966552448876
Year,TB_HIV_Cases,0.14248348409673797
Year,TB_HIV_Inc_100k,0.12291541914795795
Year,TB_Prev_100k,0.10387177628402325
Year,TB_Mort_100k,0.10042171369822805
Year,TB_HIV_Deaths,0.08346585212235468
Pop,Case_Detect,0.08273051445771254
Year,TB_HIV_Mort_100k,0.06550604369724727
Pop,TB_HIV_Perc,0.06151159321910459
Pop,TB_Prev_100k,0.0571950911725686
Pop,TB_Mort_100k,0.05470552582448326
Year,TB_Inc_100k,0.0533471588954015
ISONum,Pop,0.04388934773166064
Year,TB_Deaths,0.04299981954544973
ISONum,Case_Detect,0.042393837763787336
Pop,TB_Inc_100k,0.04117873880525711
ISONum,TB_Cases,0.040389040171823425
ISONum,TB_HIV_Cases,0.040038512512083305
ISONum,TB_Mort_100k,0.03939161663178913
ISONum,TB_Prev_100k,0.03571598025307904
ISONum,TB_HIV_Perc,0.03498024226101806
Year,TB_Prev,0.030544042669713604
ISONum,TB_Prev,0.02575015489193834
ISONum,TB_Deaths,0.023878708913021237
Year,Pop,0.02039889586772472
ISONum,TB_Inc_100k,0.019741469813194745
Pop,TB_HIV_Inc_100k,0.019055385961820718
ISONum,TB_HIV_Deaths,0.018531942395039067
Pop,TB_HIV_Mort_100k,0.010134689121964784
Year,TB_Cases,0.005192508616525309
ISONum,TB_HIV_Mort_100k,0.004266085035445426
ISONum,Year,0.0014307142181128531
ISONum,TB_HIV_Inc_100k,0.0009675074689536414
